Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-03,2448.046511,1.0,1970.5965753424655,73,3.2941176470588234,33.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-04,-4934.6700519999995,0.7555110220440882,1496.3304392236976,979,0.9619238476953907,15.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-05,12814.770318,0.8689655172413793,1811.146831683168,202,0.8198198198198198,20.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-06,601.486585,1.0,1406.2047727272727,88,1.5142857142857142,25.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-07,9142.064849,0.8983050847457628,1885.9940930979135,623,0.9529780564263323,34.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-08,2219.262399,1.0,1190.7070895522388,134,1.5769230769230769,28.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-09,805.6551000000001,1.0,1607.242191011236,178,3.0454545454545454,27.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-10,9791.668235,0.8603550295857988,1381.5543347338937,1428,0.6899408284023668,20.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-11,-136.41741799999994,0.5476190476190477,1225.6175075075075,333,0.624390243902439,24.0,Extreme Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-12,8096.937709,0.768361581920904,1791.739095840868,553,0.6757575757575758,34.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-13,5090.880874,0.9289099526066351,1461.4744347826086,690,0.7079207920792079,45.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-14,-49.67229100000003,0.3137254901960784,1729.6968478260867,92,1.0909090909090908,27.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-15,1764.258791,1.0,1705.1933333333334,75,2.125,46.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-16,5.068941999999993,0.8461538461538461,1426.0048453608247,97,47.5,30.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-17,390.08642000000003,0.7355371900826446,1349.2339834024897,241,0.9917355371900827,32.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-18,1930.871511,0.5985915492957746,1325.5640225563911,266,0.8732394366197183,34.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-19,5253.432742,0.8545816733067729,1873.024300341297,879,0.8236514522821576,32.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-20,-682.2653320000001,0.10236220472440945,1533.3633215547704,283,1.0808823529411764,49.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-03-21,4866.15672,1.0,1152.8391272727274,550,0.9855595667870036,31.0,Fear
